symbol,date,raw_source_count,max_raw_open_diff,max_raw_close_diff,eodhd_tiingo_close_diff,alpaca_vs_raw_median_close,yf_adj_vs_eodhd_adj,yf_adj_vs_tiingo_adj,statuses
GDX,2026-04-30,3,0.04999999999999716,0.009999999999990905,0.0,0.009999999999990905,9.155273374972239e-07,9.155273374972239e-07,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
GDX,2026-05-29,3,0.16499999999999204,0.09999999999999432,0.0,-0.09999999999999432,-2.1362304636340923e-06,-2.1362304636340923e-06,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
GDX,2026-06-30,3,0.12000000000000455,0.04000000000000625,0.0,-0.04000000000000625,-3.051757815342171e-06,-3.051757815342171e-06,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
GLD,2026-04-30,3,0.1199999999999477,0.1199999999999477,0.0,0.1199999999999477,3.6621093499888957e-06,3.6621093499888957e-06,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
GLD,2026-05-29,3,0.009999999999990905,0.060000000000002274,0.0,0.060000000000002274,-4.8828125045474735e-06,-4.8828125045474735e-06,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
GLD,2026-06-30,3,0.029999999999972715,0.0,0.0,0.0,4.8828125045474735e-06,4.8828125045474735e-06,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
LQD,2026-04-30,3,0.030000000000001137,0.010000000000005116,0.0,0.010000000000005116,0.4073575683593731,0.40730500675937265,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
LQD,2026-05-29,3,0.04000000000000625,0.010000000000005116,0.0,0.010000000000005116,0.41128974609374325,0.41195444079374965,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
LQD,2026-06-30,3,0.015000000000000568,0.009999999999990905,0.0,-0.009999999999990905,3.5400390601125764e-06,0.00033541083905674896,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
QLD,2026-04-30,3,0.12000000000000455,0.18000000000000682,0.0,0.18000000000000682,3.833007809816991e-06,0.00022243120781695325,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
QLD,2026-05-29,3,0.10999999999999943,0.025000000000005684,0.0,0.025000000000005684,-4.2590332029135425e-05,0.00026543156796776657,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
QLD,2026-06-30,3,0.05500000000000682,0.01999999999999602,0.0,0.01999999999999602,2.1362304636340923e-06,2.1362304636340923e-06,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
QQQ,2026-04-30,3,0.024999999999977263,0.12999999999999545,0.0,-0.12999999999999545,0.0030580078124557986,0.0022404357124514718,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
QQQ,2026-05-29,3,0.08000000000004093,0.09999999999990905,0.0,-0.09999999999990905,0.0034117187500442014,0.0025023578499485666,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
QQQ,2026-06-30,3,0.19000000000005457,0.32999999999992724,0.0,-0.32999999999992724,2.4414062522737368e-05,2.4414062522737368e-05,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
SPY,2026-04-30,3,0.03999999999996362,0.25,0.0,-0.25,-0.0005065429687647338,-0.019427231368695175,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
SPY,2026-05-29,3,0.03499999999996817,0.13999999999998636,0.0,-0.13999999999998636,-0.0004671875000212822,-0.02042598629998338,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
SPY,2026-06-30,3,0.009999999999990905,0.12000000000000455,0.0,-0.12000000000000455,1.9531250018189894e-05,1.9531250018189894e-05,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
TECL,2026-04-30,3,0.3300000000000125,0.21000000000000796,0.0,0.21000000000000796,-4.6899414058998445e-05,0.01780605968593818,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
TECL,2026-05-29,3,0.0049999999999954525,0.22000000000002728,0.0,0.22000000000002728,-6.762695306861133e-06,0.029893658804695633,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
TECL,2026-06-30,3,0.3149999999999977,0.27000000000001023,0.0,0.27000000000001023,-5.493164053405053e-06,-5.493164053405053e-06,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
TMF,2026-04-30,3,0.030000000000001137,0.020000000000003126,0.0,-0.020000000000003126,9.52575683612622e-05,-0.0014510685316437844,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
TMF,2026-05-29,3,0.015000000000000568,0.020000000000003126,0.0,0.020000000000003126,6.585693359539846e-05,-0.001454436966405126,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
TMF,2026-06-30,3,0.010000000000005116,0.02999999999999403,0.0,-0.02999999999999403,-7.629394502828291e-07,-7.629394502828291e-07,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
TMV,2026-04-30,3,0.07000000000000028,0.01999999999999602,0.0,0.01999999999999602,3.640136718985332e-05,0.0013086491671856493,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
TMV,2026-05-29,3,0.04999999999999716,0.10000000000000142,0.0,0.10000000000000142,1.8670654299057787e-05,0.001301887254300027,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
TMV,2026-06-30,3,0.020000000000003126,0.03999999999999915,0.0,0.03999999999999915,1.3732910133512632e-06,1.3732910133512632e-06,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
TQQQ,2026-04-30,3,0.0,0.04999999999999716,0.0,-0.04999999999999716,0.14620091552734493,0.14808460502734277,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
TQQQ,2026-05-29,3,0.030000000000001137,0.01999999999999602,0.0,-0.01999999999999602,0.19449755859375273,0.197069588493747,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
TQQQ,2026-06-30,3,0.060000000000002274,0.010000000000005116,0.0,-0.010000000000005116,0.0,0.0,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
VIX,2026-04-30,1,,,,,-6.103515630684342e-07,,alpaca:unsupported; eodhd:ok; stockdata_yfinance:ok; tiingo:error
VIX,2026-05-29,1,,,,,-3.051757815342171e-07,,alpaca:unsupported; eodhd:ok; stockdata_yfinance:ok; tiingo:error
VIX,2026-06-30,1,,,,,7.629394538355427e-07,,alpaca:unsupported; eodhd:ok; stockdata_yfinance:ok; tiingo:error
XLU,2026-04-30,3,0.11999999999999744,0.00999999999999801,0.0,-0.00999999999999801,0.00023818969726363548,-0.0011832422027353573,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
XLU,2026-05-29,3,0.0,0.0,0.0,0.0,0.00025307617187309006,-0.0011252590281216612,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
XLU,2026-06-30,3,0.02499999999999858,0.0,0.0,0.0,1.5258788721439487e-07,1.5258788721439487e-07,alpaca:ok; eodhd:ok; stockdata_yfinance:ok; tiingo:ok
